epoch,loss,lr,mae,mape,val_loss,val_mae,val_mape
0,1.505108118057251,0.001,0.777733564376831,131.83438110351562,1.2224959135055542,0.6537837982177734,101.07965087890625
1,1.0628618001937866,0.001,0.6067877411842346,290.14324951171875,0.838473379611969,0.5056465864181519,149.2034149169922
2,0.7911849021911621,0.001,0.49709001183509827,313.3864440917969,0.6543996930122375,0.43067535758018494,104.67705535888672
3,0.6026561856269836,0.001,0.41151171922683716,215.85708618164062,0.4531573951244354,0.3049467206001282,99.584716796875
4,0.46893951296806335,0.001,0.33397895097732544,160.29727172851562,0.36643800139427185,0.25799044966697693,88.71243286132812
0,0.3989534378051758,0.001,0.3117234408855438,152.33982849121094,0.31163185834884644,0.2279614508152008,128.3896484375
1,0.35254308581352234,0.001,0.2950061857700348,127.8052749633789,0.28228840231895447,0.2258942872285843,128.21343994140625
2,0.32683882117271423,0.001,0.29218217730522156,121.36933135986328,0.2578098177909851,0.22265048325061798,111.78523254394531
3,0.3120839297771454,0.001,0.2990981638431549,133.49752807617188,0.23880469799041748,0.22127075493335724,121.53596496582031
4,0.28763285279273987,0.001,0.2921324670314789,142.57672119140625,0.22733677923679352,0.23021230101585388,110.97488403320312
