epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,0.0010000000474974513,1.5233867168426514,0.7865211963653564,132.3466033935547,1.2517656087875366,0.6691510677337646,96.02008819580078
1,0.0010000000474974513,1.0851719379425049,0.618493378162384,244.67840576171875,0.8605449199676514,0.5271811485290527,146.76968383789062
2,0.0010000000474974513,0.7873191833496094,0.4956424832344055,267.1130676269531,0.6440313458442688,0.4225254952907562,104.85519409179688
3,0.0010000000474974513,0.6094334721565247,0.41791629791259766,252.96182250976562,0.451652467250824,0.30248650908470154,101.00774383544922
4,0.0010000000474974513,0.46705493330955505,0.33529892563819885,169.1240692138672,0.3748772144317627,0.25907114148139954,83.03096771240234
0,0.0010000000474974513,0.40954771637916565,0.317693293094635,130.4866943359375,0.3186552822589874,0.22946856915950775,126.74789428710938
1,0.0010000000474974513,0.36384317278862,0.3045220971107483,144.55699157714844,0.2844327688217163,0.21839584410190582,121.5533218383789
2,0.0010000000474974513,0.3326026201248169,0.2929716110229492,161.18014526367188,0.2656098008155823,0.2229086011648178,116.21231842041016
3,0.0010000000474974513,0.3092920780181885,0.2955498695373535,147.6107940673828,0.24563473463058472,0.2214231640100479,116.32160186767578
4,0.0010000000474974513,0.29209575057029724,0.29112234711647034,127.14293670654297,0.23028255999088287,0.22104845941066742,111.45743560791016
